,ktest,p-value,p-value_adj,cluster
TMEM251,0.8217307330816395,0.9355112429011307,1.0,1
BAG1,3.645955558957105,0.4560350987522026,0.7519127761784049,4
NUP133,1.824045938534824,0.7680801867184135,1.0,4
CNTRL,0.07297278454664465,0.9993503431175238,1.0,2
CD2AP,2.56413333001802,0.6331897108322484,0.9429481918574063,1
SDC4,3.4876741737153156,0.4797549868636237,0.7788230306227658,1
CFL2,4.718807842682304,0.31738479799053193,0.5612463271273774,1
CEBPG,0.6022101472042041,0.9628177729341522,1.0,1
TDP2,4.103725477423398,0.39215010149345486,0.6663553126481816,4
NR1H3,0.41224545088024667,0.9814621102587656,1.0,4
ENSGALG00000049426,0.15666261359151254,0.9970877021542861,1.0,1
TMBIM6,0.5367783546604397,0.9698232445316984,1.0,4
ATR,1.072500745078343,0.8986103646955227,1.0,1
DNAJC28,0.38891362855381184,0.9833744742666812,1.0,2
ING3,2.5718279679276996,0.6318216989134511,0.9430174610648524,4
POLR3H,5.90113900026579,0.2066539230107459,0.38881264912652097,1
VPS13C,91.47783171971116,6.390279711492631e-19,6.327009615339239e-18,1
CLCC1,0.8204525436454564,0.9356852748764636,1.0,1
KCND3,341.796726956094,1.0352745007511265e-72,3.981825002888948e-71,1
RBM45,21.1695187012657,0.0002930788227621851,0.001041132585300835,1
UBE3D,1.4173323451084114,0.8411770462305073,1.0,1
AKAP8L,0.7310404627219025,0.9474465516768679,1.0,2
ZFYVE21,18.375502058001324,0.0010420504609024769,0.003356040131731004,4
NMT2,13.809779901462074,0.007927572536236367,0.02174917019543585,1
MBLAC2,8.121778394963126,0.08721778618162876,0.18419807007735745,2
SNRPGP15,16.67814988441234,0.0022319765574321695,0.006722820956120993,0
LAT2,130.6021361785062,2.894856172928494e-27,3.9929050661082675e-26,4
RRBP1,16.197404588442655,0.0027653985982510247,0.008181652657547412,4
COMTD1,0.03479450132572562,0.9998504116126478,1.0,1
CMTM8,51.875241581902635,1.4648516740512857e-10,8.986820086204207e-10,0
AMACR,8.662867527363026,0.0701013264502651,0.1533945874185232,4
ENSGALG00000050631,126.18395534062151,2.5486248782380167e-26,3.4675168411401585e-25,1
TRIM59,0.5579611973494079,0.9676186312370009,1.0,2
GLO1,4.362087907783023,0.35921487800121094,0.6204056614874109,1
ENSGALG00000030179,304.620390388326,1.091675908272768e-64,3.579265273025469e-63,1
ATAD2B,53.56248691241316,6.498384866156029e-11,4.0999273603508065e-10,4
ENSGALG00000031427,22.762382696379383,0.00014124524476514554,0.000528019606598675,1
TUBB6,0.5349048685202186,0.9700152308584731,1.0,2
OXSR1,10.011131727336537,0.040240586409696986,0.09336562972087468,2
SSR1,159.70277135826845,1.6930558890246343e-33,2.8217598150410574e-32,0
SEPTIN2,0.49729538603316364,0.973763738629269,1.0,1
PPM1B,2.4685946466466344,0.6502680988156839,0.9614601656445063,1
